"Front","Back","Tag"
"What is the essence of geographical thinking?","To understand complex processes at different geographical scales.","other"
"What do geographers practice to understand complex processes at different geographical scales?","Using, altering, interpreting, and understanding the limitations of geographic information.","other"
"At what levels do geographers better understand processes as a result of practicing with geographic information?","Local, regional, and global levels.","other"
"Name three types of patterns that geographers study.","1. Environmental, 2. Cultural, 3. Population.","other"
"What is an absolute location?","The precise position of an object or place as determined by spatial coordinates within a grid system.","other"
"What two types of lines make up the grid that forms a coordinate system?","1. Latitude lines, 2. Longitude lines.","other"
"What do geographers use a coordinate system for?","To pinpoint the exact location of objects, places, or features on Earth’s surface.","other"
"What are latitude lines?","Parallel lines that demonstrate relative distance north and south of the equator.","other"
"What is another name for longitude lines?","Meridians.","other"
"What do longitude lines measure?","Relative distance east and west of the prime meridian.","other"
"What is the prime meridian?","An imaginary line that runs through the Royal Observatory in Greenwich, England, and represents the 0° longitude mark.","other"
"Where does the prime meridian run through?","The Royal Observatory in Greenwich, England.","other"
"What longitude mark does the prime meridian represent?","0° longitude.","other"
"Where do meridians meet?","At the North and South Poles.","other"
"What mnemonic helps remember latitude lines?","""Latitude is like a ladder,"" thinking of latitude lines as the horizontal lines of ladder rungs.","other"
"Name the two main categories of maps.","1. Reference maps, 2. Thematic maps.","other"
"What do reference maps provide?","Details about a location that help users identify landmarks and navigate effectively.","other"
"What is an example of a reference map mentioned that is also a globe?","Globes.","other"
"Name three examples of reference maps.","1. Political maps, 2. Physical maps, 3. Road maps.","other"
"Name three features shown on political maps that help people navigate.","1. Boundaries, 2. Capital cities, 3. Important urban areas.","other"
"Name three landforms depicted on physical maps that facilitate navigation.","1. Mountains, 2. Rivers, 3. Deserts.","other"
"What do physical maps depict to facilitate navigation?","Landforms such as mountains, rivers, and deserts.","other"
"What do road maps depict?","Land transportation routes, including streets and highways.","other"
"What type of reference map uses isolines to assist navigation?","Topographic maps.","other"
"What do topographic maps use to assist navigation?","Isolines.","other"
"What do isolines on topographic maps connect?","Areas that have the same elevation.","other"
"Why does following isolines ensure a steady path?","Due to equal values.","other"
"What two types of landscape features do topographic maps often include?","1. Human-created, 2. Natural.","other"
"Name two activities that the ease-of-navigation provided by topographic maps assists with.","1. Land engineering, 2. Recreational activities.","other"
"What do land engineers use topographic maps for?","To ensure a level foundation surface.","other"
"What is the role of land engineers?","To turn natural materials into built environments.","other"
"Name two ways topographic maps help hikers.","1. Predict elevation changes, 2. Prepare for steep ascents and descents.","other"
"What do thematic maps illustrate?","Variables, like population size or income, across a defined region.","other"
"What do thematic maps focus on?","Datasets that reveal patterns, trends, and conditions.","other"
"How are thematic maps delineated?","Based on how they present data.","other"
"What do choropleth maps display?","How data varies across locations by using different shades or colors to represent density and/or intensity.","other"
"How do choropleth maps represent density and/or intensity?","By using different shades or colors.","other"
"How do dot distribution/dot density maps demonstrate data frequency?","Through dot density and locations.","other"
"What do isoline maps connect?","Points of equal value to show relationships and characteristics across locations.","other"
"What do isoline maps present accurately?","Landscapes.","other"
"What do isoline maps focus on?","Data variability.","other"
"What do some thematic maps use to communicate data differences?","Visual distortions and exaggerations.","other"
"How do graduated symbol maps compare data quantity across an area?","By contrasting symbols of varied sizes.","other"
"In a graduated symbol map depicting relative population sizes in cities, what would a larger circle represent?","Higher population density.","other"
"How does a graduated symbol map differ from a dot density map?","A graduated symbol map uses circle size to differentiate data, while a dot density map uses dot quantity.","other"
"What do flowline maps use to show movement, direction, and intensity of data across space?","Arrows of different sizes.","other"
"What could a flowline map using arrows of relative sizes and directions show?","Migration patterns on a continent.","other"
"What do cartogram maps use to demonstrate relative variables?","Visual distortions imposed on the landscape.","other"
"What could a cartogram map seeking to communicate global population differences do to continents?","Shrink or stretch their size to show differentiation.","other"
"What do area cartograms do?","Impose distortions over an entire area to show variables across space.","other"
"Name three things that distance cartograms communicate.","1. Travel length, 2. Distance, 3. Time of travel.","other"
"How are locations and times often estimated on distance cartograms?","To near round numbers for ease of communication.","other"
"What is the aim of distortions in thematic maps like cartograms, even though they distort visual depictions of time and space?","To show data variation clearly.","other"
"What is a mental map?","An individual’s internal, subjective perception of their surroundings that they use to navigate environments without the need for a physical reference.","other"
"What do individuals residing in a suburban downtown likely possess knowledge of regarding their local area?","The locations of their local library, grocery store, and preferred coffee shop, along with a general recollection of the physical appearance of these buildings.","other"
"What two main types of information do maps display and convey?","1. Navigational information, 2. Relationships between data that enable comparisons.","other"
"Name three examples of data points that communicate meaning on maps.","1. Topography, 2. Resource density, 3. Human migration patterns.","other"
