"Front","Back","Tag"
"What do map projections have in terms of their representation of reality?","advantages and disadvantages","other"
"What do Mercator projections preserve?","shape","other"
"What else do Mercator projections preserve?","direction","other"
"What are Mercator projections ideal for?","navigation","other"
"What do Mercator projections distort near the poles?","size","other"
"Give an example of size distortion in Mercator projections.","Maps with Mercator projections make Greenland appear much larger than it actually is.","other"
"What is another name for the Peters projection?","Gall-Peters","other"
"What does the Peters projection show correctly?","relative sizes","other"
"What does the Peters projection alter?","the shapes of landmasses","other"
"What do equal-area projections keep accurate?","size","other"
"What do equal-area projections sacrifice?","shape","other"
"What does the Robinson projection aim for?","a balanced compromise among various distortions","other"
"What kind of world maps does the Robinson projection offer?","visually appealing","other"
"What does a cartographer's projection selection highlight regarding their choices?","what they prioritize","other"
"What else does a cartographer's projection selection highlight regarding their choices?","where they are ready to make trade-offs","other"
"What can maps convey?","meaningful insights and information","other"
"What do maps always represent?","choices made by people","other"
"What three types of choices do cartographers make regarding information?","1. prioritize
2. simplify
3. exclude","other"
"What three actions do cartographers take when creating maps?","1. draw and define political borders
2. assign colors to specific regions
3. draw attention to some information more than other information","other"
"What is important to keep in mind when interpreting what a map displays?","inherent biases","other"
"What is important to keep in mind when interpreting the priorities of the mapmaker?","inherent biases","other"
"What is the essence of geographical thinking?","To understand complex processes at different geographical scales.","other"
"What do geographers practice to understand complex processes at different geographical scales?","Using, altering, interpreting, and understanding the limitations of geographic information.","other"
"At what levels do geographers better understand processes as a result of practicing with geographic information?","Local, regional, and global levels.","other"
"Name three types of patterns that geographers study.","1. Environmental
2. Cultural
3. Population","other"
"According to the text, what could an expert geographer explain about population processes in a randomly pointed-to area on a globe?","How migration affects that place alone, then the areas around it, and finally how population processes link globally.","other"
"What is the term for the precise position of an object or place as determined by spatial coordinates within a grid system?","Absolute location.","other"
"What does an absolute location denote?","The precise position of an object or place as determined by spatial coordinates within a grid system.","other"
"What forms a coordinate system?","A grid made up of latitude and longitude lines.","other"
"What do geographers use a coordinate system for?","To pinpoint the exact location of objects, places, or features on Earth’s surface.","other"
"What type of lines are latitude lines?","Parallel lines.","other"
"What do latitude lines demonstrate?","Relative distance north and south of the equator.","other"
"What is another name for longitude lines?","Meridians.","other"
"What do longitude lines measure?","Relative distance east and west of the prime meridian.","other"
"What is the prime meridian?","An imaginary line that runs through the Royal Observatory in Greenwich, England, and represents the 0° longitude mark.","other"
"Where does the prime meridian run through?","The Royal Observatory in Greenwich, England.","other"
"What longitude mark does the prime meridian represent?","0° longitude.","other"
"Where do meridians meet?","At the North and South Poles.","other"
"What mnemonic is suggested for remembering latitude lines?","""Latitude is like a ladder.""","other"
"Name the two main categories of maps.","1. Reference maps
2. Thematic maps","other"
"What do reference maps provide?","Details about a location that help users identify landmarks and navigate effectively.","other"
"What is an example of a reference map mentioned in the text?","Globes.","other"
"Name three examples of reference maps.","1. Political maps
2. Physical maps
3. Road maps","other"
"What do political maps show to help people navigate?","Boundaries, capital cities, and important urban areas.","other"
"What do physical maps depict to facilitate navigation?","Landforms such as mountains, rivers, and deserts.","other"
"What do road maps depict?","Land transportation routes, including streets and highways.","other"
"What is a common function of all kinds of reference maps?","To help people know how to get from place to place.","other"
"What type of reference map uses isolines to assist navigation?","Topographic maps.","other"
"What do isolines on topographic maps connect?","Areas that have the same elevation.","other"
"What does following isolines ensure?","A steady path due to equal values.","other"
"What types of landscape features do topographic maps often include?","Human-created and natural.","other"
"What two activities does the ease-of-navigation provided by topographic maps assist with?","Land engineering and recreational activities.","other"
"According to the text, how do land engineers use topographic maps?","To ensure a level foundation surface.","other"
"What do land engineers do?","Turn natural materials into built environments.","other"
"How do topographic maps help hikers?","Predict elevation changes and prepare for steep ascents and descents.","other"
"What do thematic maps illustrate?","Variables, like population size or income, across a defined region.","other"
"What do thematic maps focus on?","Datasets that reveal patterns, trends, and conditions.","other"
"How are thematic maps delineated?","Based on how they present data.","other"
"How do choropleth maps display data variation across locations?","By using different shades or colors to represent density and/or intensity.","other"
"How do dot distribution/dot density maps demonstrate data frequency?","Through dot density and locations.","other"
"What do isoline maps connect?","Points of equal value.","other"
"What do isoline maps show by connecting points of equal value?","Relationships and characteristics across locations.","other"
